match_id,inning,over,ball,dismissal_kind,fielder_id
335982,1,5,2,caught,5.0
335982,1,12,1,caught,1.0
335982,1,17,1,caught,9.0
335982,2,1,1,bowled,
335982,2,2,2,bowled,
335982,2,4,5,caught,17.0
335982,2,5,2,caught,6.0
335982,2,7,5,caught,17.0
335982,2,8,2,caught,6.0
335982,2,8,8,caught,20.0
335982,2,11,1,run out,16.0
335982,2,13,1,bowled,
335982,2,15,2,caught,2.0
335983,1,2,5,caught,26.0
335983,1,6,2,bowled,
335983,1,7,1,lbw,
335983,1,12,2,caught,29.0
335983,1,15,3,bowled,
335983,2,5,6,caught,22.0
335983,2,10,2,caught,40.0
335983,2,14,2,caught,39.0
335983,2,17,4,caught,40.0
335984,1,2,3,caught,47.0
335984,1,3,5,run out,
335984,1,6,2,run out,
335984,1,7,4,lbw,
335984,1,10,3,caught,46.0
335984,1,12,1,bowled,
335984,1,14,2,bowled,
335984,1,17,1,bowled,
335984,2,1,4,bowled,
335985,1,1,5,caught,15.0
335985,1,3,4,retired hurt,
335985,1,5,4,run out,3.0
335985,1,13,3,caught,15.0
335985,1,16,5,stumped,18.0
335985,1,18,5,caught,3.0
335985,1,19,6,bowled,
335985,2,4,7,caught,69.0
335985,2,8,6,caught and bowled,
335985,2,9,6,caught,69.0
335985,2,13,4,caught,63.0
335985,2,18,4,caught,69.0
335986,1,3,2,caught,17.0
335986,1,4,3,caught,21.0
335986,1,8,1,caught,10.0
335986,1,8,4,caught,20.0
335986,1,11,4,bowled,
335986,1,14,3,caught,12.0
335986,1,17,4,caught,8.0
335986,1,17,6,caught,0.0
335986,1,18,3,caught,20.0
335986,1,18,4,run out,10.0
335986,2,1,2,caught,80.0
335986,2,2,1,lbw,
335986,2,4,2,caught,81.0
335986,2,12,8,bowled,
335986,2,16,3,caught,79.0
335987,1,4,5,bowled,
335987,1,6,3,caught and bowled,
335987,1,7,4,stumped,88.0
335987,1,8,6,lbw,
335987,1,16,5,lbw,
335987,1,17,2,bowled,
335987,1,17,4,caught,88.0
335987,1,18,6,run out,53.0
335987,2,1,1,caught,26.0
335987,2,2,3,caught and bowled,
335987,2,4,5,caught,33.0
335987,2,11,2,lbw,
335988,1,1,6,bowled,
335988,1,5,1,bowled,
335988,1,7,6,caught,62.0
335988,1,9,3,caught,93.0
335988,1,12,1,lbw,
335988,1,16,1,run out,95.0
335988,1,18,4,caught,44.0
335988,1,19,2,caught,59.0
335988,2,3,3,caught,76.0
335989,1,3,1,caught,63.0
335989,1,4,4,bowled,
335989,1,14,6,caught,96.0
335989,1,18,7,run out,71.0
335989,1,19,5,caught,96.0
335989,2,0,8,run out,36.0
335989,2,3,4,caught,40.0
335989,2,9,4,bowled,
335989,2,11,4,bowled,
335989,2,14,2,caught,35.0
335989,2,15,3,caught,31.0
335989,2,18,5,caught,36.0
335990,1,2,2,stumped,88.0
335990,1,2,6,caught,53.0
335990,1,8,3,caught and bowled,
335990,1,17,6,caught,56.0
335990,1,19,7,caught,88.0
335990,2,2,1,caught,83.0
335990,2,9,3,caught,79.0
335990,2,11,6,bowled,
335990,2,17,1,caught,79.0
335990,2,17,3,caught,100.0
335990,2,18,3,bowled,
335990,2,18,5,run out,78.0
335991,1,1,4,caught,74.0
335991,1,8,1,run out,96.0
335991,1,10,6,caught,96.0
335991,1,13,5,caught,71.0
335991,1,16,4,caught,102.0
335991,1,17,4,caught,73.0
335991,1,18,2,caught,74.0
335991,1,18,7,lbw,
335991,1,19,2,caught,63.0
335991,1,19,6,run out,71.0
335991,2,2,3,caught and bowled,
335991,2,2,4,run out,23.0
335991,2,8,4,bowled,
335991,2,9,1,caught,101.0
335991,2,12,2,bowled,
335991,2,13,1,caught,33.0
335991,2,13,2,lbw,
335991,2,15,2,caught,41.0
335991,2,17,2,hit wicket,
335992,1,0,2,caught,53.0
335992,1,2,2,caught,53.0
335992,1,6,3,caught,60.0
335992,1,7,2,caught,99.0
335992,1,9,4,caught,54.0
335992,1,11,4,caught,54.0
335992,1,13,6,run out,105.0
335992,1,19,2,run out,54.0
335992,2,0,4,caught,18.0
335992,2,3,2,caught,18.0
335992,2,15,6,caught,106.0
335993,1,2,3,caught,31.0
335993,1,2,4,caught,31.0
335993,1,5,5,bowled,
335993,1,7,2,caught,36.0
335993,1,9,3,caught,36.0
335993,1,14,4,caught,40.0
335993,1,17,2,caught,38.0
335993,1,18,2,caught and bowled,
335993,1,19,6,run out,30.0
335993,2,8,2,caught,14.0
335994,1,2,2,caught,78.0
335994,1,3,5,caught,86.0
335994,1,5,3,caught,76.0
335994,1,10,3,caught,80.0
335994,1,13,3,bowled,
335994,1,16,4,caught,76.0
335994,1,19,6,caught,86.0
335995,1,1,5,lbw,
335995,1,2,3,caught,26.0
335995,1,5,6,caught,41.0
335995,1,7,1,caught,23.0
335995,1,11,6,bowled,
335995,1,16,4,bowled,
335995,1,17,5,caught,41.0
335995,1,19,6,run out,87.0
335995,2,0,6,lbw,
335995,2,1,6,caught,93.0
335995,2,7,7,caught and bowled,
335995,2,13,7,run out,61.0
335995,2,16,4,caught,93.0
335995,2,17,7,caught,93.0
335996,1,3,6,bowled,
335996,1,6,3,caught,5.0
335996,1,11,6,run out,13.0
335996,1,19,5,caught,68.0
335996,1,19,6,caught,11.0
335996,2,3,1,bowled,
335996,2,10,6,caught,35.0
335996,2,14,1,caught,30.0
335996,2,15,1,caught,31.0
335996,2,16,2,caught,27.0
335996,2,16,4,lbw,
335996,2,17,2,bowled,
335996,2,18,5,run out,31.0
335996,2,18,6,run out,40.0
335996,2,19,4,caught,27.0
335997,1,0,3,caught,64.0
335997,1,0,5,lbw,
335997,1,5,3,caught,66.0
335997,1,11,6,caught,73.0
335997,1,13,1,run out,102.0
335997,1,13,3,caught,67.0
335997,1,15,4,caught,73.0
335997,1,19,3,caught,64.0
335997,2,2,4,caught,8.0
335997,2,3,4,bowled,
335997,2,4,1,bowled,
335998,1,4,6,run out,75.0
335998,1,14,6,caught,11.0
335998,1,16,1,bowled,
335998,1,17,1,bowled,
335998,1,18,2,caught,1.0
335998,2,0,5,caught,62.0
335998,2,4,2,caught,62.0
335998,2,4,6,caught,92.0
335998,2,15,3,caught,61.0
335998,2,18,6,bowled,
335999,1,3,2,bowled,
335999,1,6,6,caught,32.0
335999,1,8,6,caught,41.0
335999,1,11,5,caught,41.0
335999,1,12,3,run out,41.0
