match_id,season,date,match_type,venue_id
335982,2007/08,2008-04-18,League,0
335983,2007/08,2008-04-19,League,1
335984,2007/08,2008-04-19,League,2
335985,2007/08,2008-04-20,League,3
335986,2007/08,2008-04-20,League,4
335987,2007/08,2008-04-21,League,5
335988,2007/08,2008-04-22,League,6
335989,2007/08,2008-04-23,League,7
335990,2007/08,2008-04-24,League,6
335991,2007/08,2008-04-25,League,1
335992,2007/08,2008-04-26,League,0
335993,2007/08,2008-04-26,League,7
335994,2007/08,2008-04-27,League,8
335995,2007/08,2008-04-27,League,1
335996,2007/08,2008-04-28,League,0
335997,2007/08,2008-04-29,League,4
335998,2007/08,2008-04-30,League,2
335999,2007/08,2008-05-01,League,6
336000,2007/08,2008-05-01,League,5
336001,2007/08,2008-05-02,League,7
336003,2007/08,2008-05-03,League,1
336034,2007/08,2008-05-03,League,0
336004,2007/08,2008-05-04,League,8
336005,2007/08,2008-05-04,League,5
336006,2007/08,2008-05-05,League,0
336007,2007/08,2008-05-06,League,7
336008,2007/08,2008-05-07,League,8
336009,2007/08,2008-05-08,League,2
336010,2007/08,2008-05-08,League,4
336011,2007/08,2008-05-09,League,5
336013,2007/08,2008-05-10,League,7
336014,2007/08,2008-05-11,League,6
336015,2007/08,2008-05-11,League,5
336016,2007/08,2008-05-12,League,1
336017,2007/08,2008-05-13,League,4
336018,2007/08,2008-05-14,League,3
336020,2007/08,2008-05-15,League,2
336021,2007/08,2008-05-16,League,3
336022,2007/08,2008-05-17,League,2
336023,2007/08,2008-05-17,League,5
336024,2007/08,2008-05-18,League,6
336025,2007/08,2008-05-18,League,4
336026,2007/08,2008-05-19,League,0
336027,2007/08,2008-05-20,League,4
336028,2007/08,2008-05-21,League,3
336029,2007/08,2008-05-21,League,7
336031,2007/08,2008-05-23,League,1
336032,2007/08,2008-05-24,League,2
336033,2007/08,2008-05-24,League,7
336002,2007/08,2008-05-25,League,6
336035,2007/08,2008-05-25,League,4
336036,2007/08,2008-05-26,League,5
336037,2007/08,2008-05-27,League,6
336012,2007/08,2008-05-28,League,0
336019,2007/08,2008-05-28,League,1
336038,2007/08,2008-05-30,Semi Final,3
336039,2007/08,2008-05-31,Semi Final,3
336040,2007/08,2008-06-01,Final,8
392181,2009,2009-04-18,League,9
392182,2009,2009-04-18,League,9
392183,2009,2009-04-19,League,9
392184,2009,2009-04-19,League,9
392185,2009,2009-04-20,League,10
392186,2009,2009-04-21,League,11
392188,2009,2009-04-22,League,9
392189,2009,2009-04-23,League,11
392190,2009,2009-04-23,League,9
392191,2009,2009-04-24,League,11
392192,2009,2009-04-25,League,11
392194,2009,2009-04-26,League,10
392195,2009,2009-04-26,League,9
392196,2009,2009-04-27,League,11
392197,2009,2009-04-27,League,10
392198,2009,2009-04-28,League,12
392199,2009,2009-04-29,League,11
392200,2009,2009-04-29,League,11
392201,2009,2009-04-30,League,12
392202,2009,2009-04-30,League,12
392203,2009,2009-05-01,League,13
392204,2009,2009-05-01,League,11
392205,2009,2009-05-02,League,10
392206,2009,2009-05-02,League,14
392207,2009,2009-05-03,League,10
392208,2009,2009-05-03,League,14
392209,2009,2009-05-04,League,13
392210,2009,2009-05-05,League,11
392211,2009,2009-05-05,League,11
392212,2009,2009-05-06,League,12
392213,2009,2009-05-07,League,12
392214,2009,2009-05-07,League,12
392215,2009,2009-05-08,League,13
392216,2009,2009-05-09,League,15
392217,2009,2009-05-09,League,15
392218,2009,2009-05-10,League,10
392219,2009,2009-05-10,League,14
392220,2009,2009-05-11,League,15
392221,2009,2009-05-12,League,12
392222,2009,2009-05-12,League,12
392223,2009,2009-05-13,League,11
392224,2009,2009-05-14,League,11
392225,2009,2009-05-14,League,11
392226,2009,2009-05-15,League,16
392227,2009,2009-05-16,League,10
392228,2009,2009-05-16,League,14
392229,2009,2009-05-17,League,14
392230,2009,2009-05-17,League,16
392231,2009,2009-05-18,League,12
392232,2009,2009-05-19,League,14
392233,2009,2009-05-20,League,11
392234,2009,2009-05-20,League,11
392235,2009,2009-05-21,League,12
392236,2009,2009-05-21,League,12
392237,2009,2009-05-22,Semi Final,12
392238,2009,2009-05-23,Semi Final,14
392239,2009,2009-05-24,Final,14
419106,2009/10,2010-03-12,League,8
419107,2009/10,2010-03-13,League,17
419108,2009/10,2010-03-13,League,1
419109,2009/10,2010-03-14,League,4
419110,2009/10,2010-03-14,League,7
419111,2009/10,2010-03-15,League,18
419112,2009/10,2010-03-16,League,0
419113,2009/10,2010-03-16,League,4
419114,2009/10,2010-03-17,League,2
419115,2009/10,2010-03-18,League,0
419116,2009/10,2010-03-19,League,2
419117,2009/10,2010-03-19,League,19
419118,2009/10,2010-03-20,League,18
419119,2009/10,2010-03-20,League,17
419120,2009/10,2010-03-21,League,19
419121,2009/10,2010-03-21,League,7
419122,2009/10,2010-03-22,League,17
419123,2009/10,2010-03-23,League,0
419124,2009/10,2010-03-24,League,1
419125,2009/10,2010-03-25,League,20
419128,2009/10,2010-03-25,League,0
419126,2009/10,2010-03-26,League,18
419127,2009/10,2010-03-27,League,1
419129,2009/10,2010-03-28,League,18
419130,2009/10,2010-03-28,League,8
