match_id,winner_id,result,resut_margin,target_runs,target_over,super_over,method
335982,1.0,runs,140.0,223.0,20.0,N,
335983,3.0,runs,33.0,241.0,20.0,N,
335984,4.0,wickets,9.0,130.0,20.0,N,
335985,0.0,wickets,5.0,166.0,20.0,N,
335986,1.0,wickets,5.0,111.0,20.0,N,
335987,5.0,wickets,6.0,167.0,20.0,N,
335988,4.0,wickets,9.0,143.0,20.0,N,
335989,3.0,runs,6.0,209.0,20.0,N,
335990,5.0,wickets,3.0,215.0,20.0,N,
335991,2.0,runs,66.0,183.0,20.0,N,
335992,5.0,wickets,7.0,136.0,20.0,N,
335993,3.0,wickets,9.0,148.0,20.0,N,
335994,7.0,wickets,10.0,155.0,20.0,N,
335995,2.0,wickets,4.0,159.0,20.0,N,
335996,3.0,runs,13.0,179.0,20.0,N,
335997,6.0,wickets,7.0,138.0,20.0,N,
335998,4.0,runs,10.0,192.0,20.0,N,
335999,2.0,wickets,7.0,165.0,20.0,N,
336000,5.0,runs,45.0,197.0,20.0,N,
336001,4.0,wickets,8.0,170.0,20.0,N,
336003,2.0,runs,9.0,179.0,20.0,N,
336034,0.0,runs,3.0,157.0,20.0,N,
336004,6.0,runs,29.0,163.0,20.0,N,
336005,5.0,wickets,8.0,110.0,20.0,N,
336006,2.0,wickets,6.0,127.0,20.0,N,
336007,7.0,wickets,7.0,145.0,20.0,N,
336008,6.0,wickets,7.0,104.0,20.0,N,
336009,3.0,wickets,4.0,188.0,20.0,N,
336010,1.0,runs,5.0,130.0,16.0,N,
336011,5.0,wickets,8.0,141.0,20.0,N,
336013,3.0,runs,18.0,182.0,20.0,N,
336014,1.0,runs,23.0,205.0,20.0,N,
336015,5.0,wickets,3.0,157.0,20.0,N,
336016,2.0,wickets,9.0,144.0,20.0,N,
336017,1.0,runs,23.0,134.0,20.0,N,
336018,6.0,wickets,9.0,157.0,20.0,N,
336020,4.0,runs,12.0,195.0,20.0,N,
336021,6.0,wickets,8.0,68.0,20.0,N,
336022,2.0,runs,6.0,89.0,8.0,N,D/L
336023,5.0,runs,65.0,198.0,20.0,N,
336024,6.0,runs,25.0,179.0,20.0,N,
336025,3.0,runs,3.0,53.0,8.0,N,D/L
336026,4.0,wickets,5.0,155.0,20.0,N,
336027,5.0,wickets,6.0,148.0,20.0,N,
336028,2.0,runs,1.0,190.0,20.0,N,
336029,0.0,runs,14.0,127.0,20.0,N,
336031,2.0,wickets,6.0,176.0,20.0,N,
336032,4.0,wickets,5.0,177.0,20.0,N,
336033,5.0,runs,10.0,212.0,20.0,N,
336002,0.0,wickets,5.0,166.0,20.0,N,
336035,1.0,wickets,3.0,175.0,20.0,N,
336036,5.0,wickets,5.0,146.0,20.0,N,
336037,3.0,wickets,7.0,148.0,20.0,N,
336012,6.0,wickets,9.0,123.0,18.0,N,
336019,2.0,runs,41.0,222.0,20.0,N,
336038,5.0,runs,105.0,193.0,20.0,N,
336039,3.0,wickets,9.0,113.0,20.0,N,
336040,5.0,wickets,3.0,164.0,20.0,N,
392181,6.0,runs,19.0,166.0,20.0,N,
392182,0.0,runs,75.0,134.0,20.0,N,
392183,4.0,wickets,10.0,54.0,6.0,N,D/L
392184,7.0,wickets,8.0,102.0,20.0,N,
392185,3.0,runs,92.0,180.0,20.0,N,
392186,1.0,runs,11.0,69.0,9.2,N,D/L
392188,7.0,runs,24.0,185.0,20.0,N,
392189,4.0,runs,9.0,190.0,20.0,N,
392190,5.0,tie,,151.0,20.0,Y,
392191,2.0,wickets,7.0,169.0,20.0,N,
392192,7.0,runs,12.0,169.0,20.0,N,
392194,4.0,wickets,6.0,150.0,20.0,N,
392195,2.0,runs,27.0,140.0,20.0,N,
392196,7.0,wickets,6.0,166.0,20.0,N,
392197,6.0,runs,92.0,188.0,20.0,N,
392198,5.0,wickets,5.0,144.0,20.0,N,
392199,0.0,wickets,5.0,140.0,20.0,N,
392200,2.0,runs,3.0,120.0,20.0,N,
392201,4.0,wickets,6.0,149.0,20.0,N,
392202,3.0,runs,38.0,165.0,20.0,N,
392203,6.0,runs,9.0,149.0,20.0,N,
392204,0.0,runs,8.0,146.0,20.0,N,
392205,5.0,wickets,3.0,142.0,20.0,N,
392206,3.0,runs,18.0,164.0,20.0,N,
392207,2.0,wickets,6.0,154.0,20.0,N,
392208,0.0,wickets,9.0,150.0,20.0,N,
392209,3.0,runs,78.0,179.0,20.0,N,
392210,5.0,runs,78.0,212.0,20.0,N,
392211,4.0,wickets,9.0,155.0,20.0,N,
392212,7.0,runs,19.0,146.0,20.0,N,
392213,5.0,wickets,7.0,106.0,20.0,N,
392214,3.0,runs,12.0,187.0,18.0,N,D/L
392215,4.0,wickets,7.0,117.0,20.0,N,
392216,2.0,wickets,3.0,169.0,20.0,N,
392217,3.0,wickets,7.0,141.0,20.0,N,
392218,6.0,runs,16.0,158.0,20.0,N,
392219,4.0,wickets,7.0,124.0,20.0,N,
392220,7.0,runs,53.0,167.0,20.0,N,
392221,0.0,wickets,6.0,174.0,20.0,N,
392222,6.0,wickets,8.0,120.0,20.0,N,
392223,4.0,runs,12.0,174.0,20.0,N,
392224,0.0,wickets,2.0,130.0,20.0,N,
392225,5.0,runs,2.0,146.0,20.0,N,
392226,2.0,wickets,6.0,121.0,20.0,N,
392227,3.0,wickets,7.0,148.0,20.0,N,
392228,7.0,wickets,6.0,161.0,20.0,N,
392229,2.0,runs,1.0,135.0,20.0,N,
392230,4.0,runs,14.0,151.0,20.0,N,
392231,1.0,wickets,7.0,189.0,20.0,N,
392232,0.0,wickets,7.0,135.0,20.0,N,
392233,1.0,wickets,4.0,102.0,20.0,N,
392234,3.0,runs,24.0,117.0,20.0,N,
392235,4.0,wickets,4.0,166.0,20.0,N,
392236,0.0,runs,12.0,171.0,20.0,N,
392237,7.0,wickets,6.0,154.0,20.0,N,
392238,0.0,wickets,6.0,147.0,20.0,N,
392239,7.0,runs,6.0,144.0,20.0,N,
419106,1.0,runs,11.0,162.0,20.0,N,
419107,6.0,runs,4.0,213.0,20.0,N,
419108,4.0,wickets,5.0,143.0,20.0,N,
419109,1.0,wickets,7.0,136.0,20.0,N,
419110,7.0,runs,31.0,191.0,20.0,N,
419111,4.0,wickets,6.0,142.0,20.0,N,
419112,0.0,wickets,8.0,204.0,20.0,N,
419113,3.0,runs,55.0,165.0,20.0,N,
419114,6.0,runs,98.0,219.0,20.0,N,
419115,0.0,wickets,10.0,93.0,20.0,N,
419116,3.0,wickets,5.0,186.0,20.0,N,
419117,7.0,runs,6.0,171.0,20.0,N,
419118,5.0,runs,34.0,169.0,20.0,N,
419119,0.0,wickets,7.0,152.0,20.0,N,
419120,7.0,runs,10.0,172.0,20.0,N,
419121,2.0,tie,,137.0,20.0,Y,
419122,6.0,wickets,7.0,156.0,20.0,N,
419123,0.0,runs,36.0,172.0,20.0,N,
419124,5.0,runs,31.0,184.0,20.0,N,
419125,6.0,wickets,5.0,181.0,20.0,N,
419128,4.0,runs,17.0,184.0,20.0,N,
419126,5.0,wickets,8.0,149.0,20.0,N,
419127,1.0,runs,39.0,184.0,20.0,N,
419129,5.0,runs,17.0,178.0,20.0,N,
419130,6.0,runs,41.0,173.0,20.0,N,
419131,4.0,runs,40.0,178.0,20.0,N,
419132,6.0,wickets,4.0,164.0,20.0,N,
419133,3.0,wickets,5.0,162.0,20.0,N,
419134,4.0,runs,67.0,189.0,20.0,N,
419135,1.0,runs,24.0,182.0,20.0,N,
419136,0.0,wickets,6.0,182.0,20.0,N,
419137,3.0,runs,23.0,247.0,20.0,N,
419138,6.0,runs,63.0,179.0,20.0,N,
419139,2.0,wickets,8.0,201.0,20.0,N,
419140,4.0,runs,37.0,185.0,20.0,N,
419141,5.0,runs,2.0,160.0,20.0,N,
419142,3.0,runs,24.0,166.0,20.0,N,
419143,5.0,wickets,9.0,154.0,20.0,N,
419144,1.0,runs,14.0,182.0,20.0,N,
419145,7.0,wickets,7.0,185.0,20.0,N,
419146,2.0,wickets,6.0,155.0,20.0,N,
419147,7.0,wickets,6.0,139.0,20.0,N,
419148,0.0,wickets,7.0,161.0,20.0,N,
419149,2.0,wickets,7.0,112.0,20.0,N,
419150,6.0,runs,37.0,175.0,20.0,N,
419151,7.0,runs,13.0,152.0,20.0,N,
419152,6.0,runs,39.0,184.0,20.0,N,
419153,3.0,wickets,9.0,140.0,20.0,N,
419154,0.0,wickets,5.0,131.0,20.0,N,
419155,4.0,wickets,6.0,113.0,20.0,N,
419156,7.0,wickets,5.0,175.0,20.0,N,
419157,6.0,runs,57.0,192.0,20.0,N,
419158,1.0,wickets,8.0,133.0,20.0,N,
419159,3.0,wickets,6.0,193.0,20.0,N,
419160,7.0,runs,11.0,146.0,20.0,N,
419161,1.0,wickets,9.0,134.0,20.0,N,
419162,6.0,runs,35.0,185.0,20.0,N,
419163,3.0,runs,38.0,143.0,20.0,N,
419164,0.0,wickets,9.0,83.0,20.0,N,
419165,3.0,runs,22.0,169.0,20.0,N,
501198,3.0,runs,2.0,154.0,20.0,N,
501199,5.0,wickets,8.0,138.0,20.0,N,
501200,0.0,wickets,6.0,162.0,20.0,N,
501201,6.0,wickets,8.0,96.0,20.0,N,
501202,9.0,wickets,7.0,113.0,20.0,N,
501203,1.0,runs,9.0,164.0,20.0,N,
501204,5.0,wickets,6.0,152.0,20.0,N,
501205,6.0,wickets,9.0,141.0,20.0,N,
501206,2.0,wickets,6.0,189.0,20.0,N,
501207,9.0,wickets,4.0,149.0,20.0,N,
501208,7.0,runs,33.0,176.0,20.0,N,
501209,1.0,wickets,9.0,160.0,20.0,N,
501210,8.0,wickets,8.0,183.0,20.0,N,
501211,3.0,runs,21.0,184.0,20.0,N,
501212,2.0,wickets,8.0,166.0,20.0,N,
501213,4.0,wickets,3.0,188.0,20.0,N,
501214,1.0,wickets,8.0,82.0,20.0,N,
501215,8.0,wickets,7.0,135.0,17.0,N,D/L
501216,7.0,runs,16.0,169.0,20.0,N,
501218,6.0,wickets,7.0,119.0,20.0,N,
501219,8.0,runs,6.0,133.0,20.0,N,
501220,2.0,runs,48.0,196.0,20.0,N,
501221,6.0,runs,8.0,165.0,20.0,N,
501222,0.0,wickets,9.0,172.0,20.0,N,
501223,4.0,runs,29.0,232.0,20.0,N,
501224,6.0,runs,37.0,173.0,20.0,N,
501225,5.0,wickets,8.0,110.0,20.0,N,
501226,3.0,runs,25.0,143.0,20.0,N,
501227,0.0,wickets,3.0,161.0,20.0,N,
501228,3.0,wickets,8.0,142.0,20.0,N,
501229,7.0,runs,55.0,130.0,20.0,N,
501230,1.0,runs,17.0,149.0,20.0,N,
501231,5.0,wickets,7.0,95.0,20.0,N,
501232,0.0,runs,26.0,182.0,20.0,N,
501233,4.0,runs,38.0,158.0,20.0,N,
501234,1.0,wickets,8.0,120.0,20.0,N,
501235,5.0,wickets,6.0,144.0,20.0,N,
501236,3.0,runs,19.0,166.0,20.0,N,
501237,6.0,runs,23.0,160.0,20.0,N,
501238,8.0,wickets,7.0,141.0,20.0,N,
501239,1.0,runs,20.0,170.0,20.0,N,
501240,3.0,wickets,8.0,148.0,20.0,N,
501241,6.0,runs,21.0,161.0,20.0,N,
501242,8.0,runs,17.0,157.0,20.0,N,
501243,4.0,wickets,4.0,176.0,20.0,N,
501244,0.0,runs,85.0,206.0,20.0,N,
501245,1.0,runs,10.0,52.0,10.0,N,D/L
501246,6.0,runs,32.0,179.0,20.0,N,
501247,0.0,wickets,9.0,126.0,20.0,N,
501248,9.0,wickets,5.0,120.0,20.0,N,
501249,3.0,runs,63.0,197.0,20.0,N,
501250,9.0,wickets,6.0,137.0,20.0,N,
501251,2.0,runs,76.0,164.0,20.0,N,
501252,0.0,wickets,9.0,147.0,20.0,N,
501253,3.0,runs,18.0,177.0,20.0,N,
501254,2.0,wickets,6.0,179.0,20.0,N,
501255,0.0,wickets,4.0,102.0,13.0,N,D/L
501256,7.0,runs,10.0,136.0,20.0,N,
501257,2.0,runs,29.0,171.0,20.0,N,
501258,8.0,wickets,8.0,98.0,20.0,N,
501259,7.0,wickets,6.0,137.0,20.0,N,
501260,2.0,runs,111.0,233.0,20.0,N,
501261,3.0,runs,11.0,153.0,20.0,N,
501262,1.0,wickets,7.0,119.0,20.0,N,
501263,5.0,wickets,10.0,134.0,20.0,N,
501264,7.0,runs,82.0,199.0,20.0,N,
501265,,no result,,,,N,
501266,0.0,wickets,8.0,129.0,20.0,N,
501267,6.0,wickets,5.0,176.0,20.0,N,
501268,3.0,wickets,6.0,176.0,20.0,N,
501269,6.0,wickets,4.0,148.0,20.0,N,
