player_id,player
0,SC Ganguly
1,P Kumar
2,BB McCullum
3,Z Khan
4,AA Noffke
5,JH Kallis
6,RT Ponting
7,SB Joshi
8,DJ Hussey
9,CL White
10,Mohammad Hafeez
11,R Dravid
12,AB Dinda
13,W Jaffer
14,I Sharma
15,V Kohli
16,AB Agarkar
17,M Kartik
18,MV Boucher
19,B Akhil
20,WP Saha
21,LR Shukla
22,PA Patel
23,B Lee
24,ML Hayden
25,S Sreesanth
26,KC Sangakkara
27,MEK Hussey
28,JR Hopes
29,IK Pathan
30,MS Dhoni
31,SK Raina
32,K Goel
33,PP Chawla
34,WA Mota
35,JDP Oram
36,S Badrinath
37,MS Gony
38,M Muralitharan
39,P Amarnath
40,Joginder Sharma
41,Yuvraj Singh
42,SM Katich
43,T Kohli
44,GD McGrath
45,YK Pathan
46,B Geeves
47,M Manhas
48,SR Watson
49,M Kaif
50,MF Maharoof
51,R Bhatia
52,DS Lehmann
53,RA Jadeja
54,M Rawat
55,DL Vettori
56,D Salunkhe
57,SK Warne
58,SK Trivedi
59,G Gambhir
60,MM Patel
61,V Sehwag
62,S Dhawan
63,L Ronchi
64,ST Jayasuriya
65,DJ Thornely
66,RV Uthappa
67,PR Shah
68,R Vinay Kumar
69,AM Nayar
70,SM Pollock
71,Harbhajan Singh
72,S Chanderpaul
73,A Nehra
74,DS Kulkarni
75,LRPL Taylor
76,AC Gilchrist
77,Y Venugopal Rao
78,VVS Laxman
79,A Symonds
80,RG Sharma
81,SB Styris
82,AS Yadav
83,SB Bangar
84,WPUJC Vaas
85,RP Singh
86,PP Ojha
87,DPMD Jayawardene
88,Kamran Akmal
89,Pankaj Singh
90,S Sohal
91,Mohammad Asif
92,VY Mahesh
93,KD Karthik
94,Shahid Afridi
95,MK Tiwary
96,DJ Bravo
97,VS Yeligati
98,MA Khote
99,GC Smith
100,D Kalyankrishna
101,RR Sarwan
102,AM Rahane
103,VRV Singh
104,SS Tiwary
105,Sohail Tanvir
106,A Kumble
107,DNT Zoysa
108,SD Chitnis
109,Shoaib Malik
110,TM Srivastava
111,DW Steyn
112,B Chipli
113,JA Morkel
114,DB Das
115,CRD Fernando
116,MK Pandey
117,HH Gibbs
118,Gagandeep Singh
119,SE Marsh
120,SA Asnodkar
121,Umar Gul
122,Salman Butt
123,BJ Hodge
124,SP Fleming
125,S Vidyut
126,PJ Sangwan
127,M Ntini
128,AB de Villiers
129,SP Goswami
130,LPC Silva
131,DB Ravi Teja
132,DP Vijaykumar
133,Misbah-ul-Haq
134,YV Takawale
135,RR Raje
136,U Kaul
137,DT Patil
138,S Anirudha
139,L Balaji
140,CK Kapugedera
141,A Chopra
142,T Taibu
143,J Arunkumar
144,SR Tendulkar
145,DR Smith
146,AD Mascarenhas
147,TM Dilshan
148,A Mishra
149,NK Patel
150,LA Pomersbach
151,Iqbal Abdulla
152,Shoaib Akhtar
153,Younis Khan
154,RR Powar
155,PM Sarvesh Kumar
156,Abdur Razzak
157,H Das
158,A Nel
159,A Mukund
160,BAW Mendis
