match_id,toss_winner,toss_decision
335982,0,field
335983,3,bat
335984,5,bat
335985,6,bat
335986,7,bat
335987,2,bat
335988,7,bat
335989,6,field
335990,5,field
335991,6,field
335992,5,field
335993,1,bat
335994,7,field
335995,4,bat
335996,3,bat
335997,1,bat
335998,0,field
335999,2,field
336000,5,bat
336001,3,bat
336003,2,bat
336034,7,field
336004,4,field
336005,3,bat
336006,2,field
336007,7,field
336008,6,field
336009,3,field
336010,1,bat
336011,5,field
336013,2,field
336014,1,bat
336015,5,field
336016,0,bat
336017,1,bat
336018,6,field
336020,7,field
336021,6,field
336022,4,bat
336023,0,field
336024,7,field
336025,1,bat
336026,4,field
336027,5,field
336028,6,field
336029,0,bat
336031,2,field
336032,4,field
336033,5,bat
336002,7,bat
336035,2,bat
336036,5,field
336037,7,bat
336012,6,field
336019,5,field
336038,4,field
336039,2,bat
336040,5,field
392181,3,field
392182,0,bat
392183,4,field
392184,1,bat
392185,3,bat
392186,1,field
392188,7,bat
392189,4,bat
392190,1,field
392191,0,bat
392192,7,bat
392194,0,bat
392195,2,bat
392196,7,field
392197,6,bat
392198,4,bat
392199,1,bat
392200,2,bat
392201,4,field
392202,5,field
392203,6,bat
392204,0,bat
392205,7,bat
392206,4,field
392207,1,bat
392208,6,bat
392209,3,bat
392210,2,field
392211,1,bat
392212,7,bat
392213,5,field
392214,3,bat
392215,6,bat
392216,2,field
392217,5,bat
392218,6,bat
392219,4,field
392220,7,bat
392221,0,field
392222,2,bat
392223,7,field
392224,3,bat
392225,5,bat
392226,2,field
392227,6,bat
392228,7,field
392229,7,field
392230,4,bat
392231,3,bat
392232,4,bat
392233,1,field
392234,3,bat
392235,4,field
392236,0,bat
392237,7,field
392238,0,field
392239,0,field
419106,7,field
419107,6,bat
419108,4,field
419109,1,field
419110,7,bat
419111,4,field
419112,2,bat
419113,3,bat
419114,4,field
419115,0,field
419116,4,bat
419117,2,field
419118,5,bat
419119,6,bat
419120,7,bat
419121,3,field
419122,1,bat
419123,3,field
419124,2,field
419125,6,field
419128,0,field
419126,7,bat
419127,1,bat
419129,5,bat
419130,7,field
419131,4,bat
419132,6,field
419133,0,bat
419134,4,bat
419135,1,bat
419136,2,bat
419137,3,bat
419138,6,bat
419139,1,bat
419140,4,bat
419141,5,bat
419142,3,bat
419143,2,bat
419144,1,bat
419145,7,field
419146,6,bat
419147,3,bat
419148,0,field
419149,4,bat
419150,5,field
419151,0,field
419152,6,bat
419153,1,bat
419154,5,bat
419155,3,bat
419156,7,field
419157,0,field
419158,5,bat
419159,3,field
419160,7,bat
419161,6,bat
419162,6,bat
419163,3,bat
419164,7,bat
419165,3,bat
501198,3,bat
501199,5,field
501200,8,bat
501201,4,bat
501202,2,bat
501203,1,bat
501204,4,bat
501205,6,field
501206,2,field
501207,8,bat
501208,0,field
501209,1,field
501210,8,field
501211,3,bat
501212,2,field
501213,4,field
501214,1,field
501215,8,field
501216,7,bat
501218,9,bat
501219,1,field
501220,5,field
501221,3,field
501222,0,field
501223,2,field
501224,7,field
501225,5,field
501226,9,field
501227,0,field
501228,9,bat
501229,8,field
501230,4,field
501231,5,field
501232,9,field
501233,4,bat
501234,1,field
501235,5,field
501236,3,bat
501237,2,field
501238,8,field
501239,7,field
501240,5,bat
501241,9,field
501242,1,field
501243,4,field
501244,2,field
501245,3,bat
501246,4,field
501247,8,bat
501248,2,bat
501249,5,field
501250,7,bat
501251,6,field
501252,0,field
501253,3,bat
501254,2,field
501255,0,field
501256,7,bat
501257,4,field
501258,8,field
501259,7,field
501260,2,bat
501261,3,bat
501262,1,field
501263,6,bat
501264,2,field
501265,4,bat
501266,0,field
501267,6,field
501268,3,field
501269,6,field
501270,6,field
501271,3,bat
548306,6,field
548307,4,field
548308,6,field
548309,2,field
548310,4,field
548311,7,field
548312,1,field
548313,9,bat
548314,7,bat
548315,0,field
548316,4,field
548317,5,field
548318,0,bat
548319,2,field
548320,5,bat
548322,3,bat
548323,1,field
548324,5,bat
548325,4,field
548326,7,bat
548327,9,bat
548328,2,bat
548321,7,bat
548330,9,field
548331,0,field
548332,5,bat
548333,4,field
548334,6,bat
548335,1,field
548336,5,field
548337,9,bat
548339,2,bat
548341,7,bat
548342,6,field
548343,2,bat
548344,1,bat
548345,4,bat
548346,6,field
548347,3,bat
548348,7,bat
548349,5,bat
548350,2,field
548351,6,bat
548352,3,bat
548353,1,bat
548354,5,bat
548355,6,field
548356,0,field
548357,4,bat
548358,9,bat
548359,7,field
548360,0,field
548329,7,bat
548361,3,field
548362,9,field
548363,6,bat
548364,3,field
548365,5,bat
548366,7,bat
548367,6,field
548368,3,field
548369,2,bat
548370,6,field
548371,2,field
548372,4,field
548373,5,bat
548374,4,field
548375,1,bat
548376,0,field
548377,5,bat
548378,1,bat
548379,6,field
548380,4,field
548381,3,bat
597998,1,field
597999,6,field
598000,9,field
598001,5,bat
598002,6,bat
598003,9,bat
598004,0,bat
598005,1,field
598006,6,bat
598048,10,bat
598007,3,field
598008,0,field
598009,5,bat
598010,4,bat
598011,6,bat
598012,3,field
598013,1,bat
598014,5,field
598015,9,bat
598016,1,field
598017,0,field
598018,9,field
598019,5,bat
598020,3,bat
598021,2,bat
598022,1,bat
598023,0,field
598024,6,bat
598025,2,field
598026,5,bat
598027,9,field
598059,2,field
598029,1,bat
598030,10,bat
598031,2,bat
598032,10,bat
598033,6,bat
598034,1,field
598035,9,field
598036,5,field
598037,6,bat
598038,3,bat
598039,6,bat
598040,1,bat
598041,3,bat
598042,0,bat
598043,5,bat
598044,4,bat
598046,6,bat
598047,9,bat
598064,2,field
598049,4,bat
598050,6,bat
598051,10,field
598052,5,field
598053,1,bat
598054,4,field
598055,9,bat
598056,2,field
598057,1,field
598058,5,field
598060,10,bat
598045,2,field
598062,3,bat
598061,1,field
598063,5,field
598028,4,field
598065,10,bat
598066,6,field
598068,3,field
598067,9,bat
598069,1,bat
598070,3,bat
598071,10,bat
598072,5,bat
598073,6,bat
729279,1,bat
729281,0,field
729283,3,bat
729285,5,field
729287,0,field
729289,1,bat
729291,2,field
729293,3,bat
729295,10,field
729297,5,field
729299,0,field
729301,10,bat
729303,6,bat
729305,5,field
729307,1,field
729309,6,bat
729311,10,bat
729313,2,field
729315,5,bat
729317,6,field
733971,3,bat
733973,2,bat
733975,5,field
733977,0,field
733979,1,field
733981,3,field
733983,0,field
733985,4,bat
733987,3,field
733989,5,field
733991,0,field
733993,10,field
733995,3,field
733997,1,field
733999,0,bat
734001,10,bat
734003,5,bat
734005,4,field
734007,2,field
734009,1,field
734011,4,field
734013,3,bat
734015,10,bat
734017,6,bat
734019,2,field
734021,0,bat
734023,1,field
734025,6,field
734027,0,field
734029,10,field
734031,4,field
734033,5,field
734035,3,field
734037,1,field
734039,2,field
734041,6,field
734043,2,field
734045,3,field
734047,3,field
734049,1,field
829705,1,field
829707,4,field
829709,2,field
829711,3,bat
829713,0,field
829715,5,field
829717,6,field
829719,10,field
829721,6,bat
829725,2,bat
829727,5,field
829729,6,bat
829731,4,bat
829733,1,field
829735,3,bat
829737,0,field
829739,1,field
829741,2,field
829743,1,field
829745,0,field
829747,6,field
829749,0,field
829751,6,bat
829753,3,bat
829757,0,field
829759,2,field
829765,1,field
829763,5,field
829723,1,field
829767,4,field
829769,5,field
829771,0,field
829773,3,field
829775,6,bat
829777,4,field
829779,3,bat
829781,10,field
829783,4,bat
829785,2,field
829761,1,bat
829787,5,field
829789,3,bat
829791,2,bat
829793,10,bat
829795,0,bat
829797,3,bat
829799,10,bat
829801,3,bat
829803,0,field
829805,1,field
829807,10,bat
829809,2,bat
829811,5,bat
829813,0,field
829815,10,bat
829817,6,bat
829819,0,bat
829821,3,field
829823,3,field
980901,6,bat
980903,1,field
980905,12,field
980907,10,field
980909,6,field
980911,11,bat
980913,4,field
980915,10,bat
980917,12,field
980919,11,bat
980921,4,field
980923,10,field
980925,1,field
980927,6,field
980929,10,field
980931,11,field
980933,6,field
980935,10,field
980937,0,bat
980939,1,field
980941,2,field
980943,11,field
980945,4,field
980947,6,field
980949,12,field
980951,1,field
980953,0,field
980955,12,field
980957,6,field
980959,1,field
980961,4,field
980963,2,field
980965,11,field
980967,10,field
980969,0,field
980971,4,field
980973,6,field
980975,12,field
980977,2,field
980979,10,bat
980981,6,field
980983,4,field
980985,6,bat
980987,12,field
980989,11,bat
980991,2,bat
980993,4,field
980995,0,field
980997,11,field
980999,2,field
981001,12,field
981003,4,field
981005,2,bat
981007,12,field
981009,10,field
981011,0,field
981013,0,field
981015,1,field
981017,10,field
981019,10,bat
1082591,0,field
1082592,13,field
1082593,1,field
1082594,2,field
1082595,0,bat
1082596,10,field
1082597,6,field
1082598,0,bat
1082599,13,field
1082600,6,field
1082601,1,field
1082602,6,field
1082603,12,field
1082604,10,field
1082605,4,bat
1082606,6,field
1082607,0,field
1082608,4,bat
1082609,2,field
1082610,12,field
1082611,10,bat
1082612,6,field
1082613,12,field
1082614,4,field
1082615,13,field
1082616,12,field
1082617,0,field
1082618,6,field
1082620,1,field
1082621,12,field
1082622,1,field
1082623,2,field
1082624,0,field
1082625,12,bat
1082626,2,field
1082627,1,field
1082628,0,bat
1082629,13,field
1082630,4,field
1082631,13,field
1082632,4,field
1082633,0,field
1082634,10,field
1082635,4,field
1082636,1,field
1082637,12,field
1082638,6,bat
1082639,1,field
1082640,4,field
1082641,6,field
1082642,4,bat
1082643,10,field
1082644,1,field
1082645,13,field
1082646,0,bat
1082647,6,field
1082648,1,field
1082649,6,field
1082650,6,bat
1136561,3,field
1136562,2,field
1136563,1,field
1136564,10,field
