venue_id,venue
0,M Chinnaswamy Stadium
1,"Punjab Cricket Association Stadium, Mohali"
2,Feroz Shah Kotla
3,Wankhede Stadium
4,Eden Gardens
5,Sawai Mansingh Stadium
6,"Rajiv Gandhi International Stadium, Uppal"
7,"MA Chidambaram Stadium, Chepauk"
8,Dr DY Patil Sports Academy
9,Newlands
10,St George's Park
11,Kingsmead
12,SuperSport Park
13,Buffalo Park
14,New Wanderers Stadium
15,De Beers Diamond Oval
16,OUTsurance Oval
17,Brabourne Stadium
18,"Sardar Patel Stadium, Motera"
19,Barabati Stadium
20,"Brabourne Stadium, Mumbai"
21,"Vidarbha Cricket Association Stadium, Jamtha"
22,Himachal Pradesh Cricket Association Stadium
23,Nehru Stadium
24,Holkar Cricket Stadium
25,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
26,Subrata Roy Sahara Stadium
27,Maharashtra Cricket Association Stadium
28,Shaheed Veer Narayan Singh International Stadium
29,JSCA International Stadium Complex
30,Sheikh Zayed Stadium
31,Sharjah Cricket Stadium
32,Dubai International Cricket Stadium
33,"Punjab Cricket Association IS Bindra Stadium, Mohali"
34,Saurashtra Cricket Association Stadium
35,Green Park
36,M.Chinnaswamy Stadium
37,Punjab Cricket Association IS Bindra Stadium
38,Rajiv Gandhi International Stadium
39,MA Chidambaram Stadium
40,Arun Jaitley Stadium
41,"MA Chidambaram Stadium, Chepauk, Chennai"
42,"Wankhede Stadium, Mumbai"
43,"Narendra Modi Stadium, Ahmedabad"
44,"Arun Jaitley Stadium, Delhi"
45,"Zayed Cricket Stadium, Abu Dhabi"
46,"Dr DY Patil Sports Academy, Mumbai"
47,"Maharashtra Cricket Association Stadium, Pune"
48,"Eden Gardens, Kolkata"
49,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
50,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
51,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
52,"M Chinnaswamy Stadium, Bengaluru"
53,"Barsapara Cricket Stadium, Guwahati"
54,"Sawai Mansingh Stadium, Jaipur"
55,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
56,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
57,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
